document_id,field_key,expected_value,expected_unit,evaluation_mode,is_applicable,notes
trade:EX-T-001,invoiceNo,EX-INV-1001,,strict,true,
trade:EX-T-001,invoiceDate,2026-09-30,,date,true,
trade:EX-T-001,exporter,"EXAMPLE TRADING CO., LTD.",,company_relaxed,true,
trade:EX-T-001,importer,SAMPLE IMPORTS CORPORATION,,company_relaxed,true,
trade:EX-T-001,productDescription,EXAMPLE COTTON SHIRT,,text_relaxed,true,
trade:EX-T-001,quantity,1500,,numeric,true,
trade:EX-T-001,currency,USD,,strict,true,
trade:EX-T-001,totalAmount,"14,400.00",,numeric,true,
trade:EX-T-001,grossWeight,550,KG,numeric_with_unit,true,
trade:EX-T-001,loadPort,Busan,,port_locode,true,
trade:EX-T-001,dischargePort,Los Angeles,,port_locode,true,
trade:EX-T-001,blNo,EXBL0001,,strict,true,
trade:EX-T-002,invoiceNo,EX-INV-2002,,strict,true,
trade:EX-T-002,invoiceDate,15 OCT 2026,,date,true,
trade:EX-T-002,exporter,SAMPLE EXPORT CO LTD,,company_relaxed,true,
trade:EX-T-002,quantity,2400,,numeric,true,
trade:EX-T-002,grossWeight,1.25,MT,numeric_with_unit,true,
trade:EX-T-002,originCountry,KOREA,,text_relaxed,true,
trade:EX-T-002,loadPort,Incheon,,port_locode,true,
trade:EX-T-002,insuredAmount,,,numeric,false,보험증권 없음 - 분모 제외
